sentence_en,sentence,label_text,label
"We warmly welcome him to Satama '' , states Jussi Lansio , chairman of the Board .",Jussi Lansio，董事会主席，热情欢迎他加入Satama。,positive,2
"( ADP News ) - Nov 3 , 2008 - Finnish cargo handling systems and services company Cargotec Oyj ( OMX : CGCBV ) said today that it acquired 80 % stakes in Italian service companies CVS Technoports Srl and CVS Service Srl from Italian handli",(ADP新闻) - 2008年11月3日 - 芬兰货物处理系统和服务公司Cargotec Oyj（ OMX：CGCBV）今日宣布，已从意大利handling公司收购了意大利服务公司CVS Technoports Srl和CVS Service Srl各80%的股权。,positive,2
"Includes company and brand share data by category , as well as distribution channel data .",包括按类别划分的公司和品牌份额数据，以及渠道分布数据。,neutral,1
"This rating from A.M. Best is the highest among the CIS countries , Central and Eastern Europe .",这个来自A.M.最佳的评级在独联体国家及中欧和东欧地区是最高的。,neutral,1
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,Aspocomp正通过越来越多地关注技术要求更高的HDI印制电路板(PCB)来积极实施其增长战略。,positive,2
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,芬兰和瑞典的建筑市场在2008年仍估计保持每年4%的增长。,positive,2
"We are very excited working with Maxis on this first commercial deployment of ` Master of Maya ' , said Joe Doering , Head of the Asia South region at Nokia Siemens Networks .",我们非常兴奋能与Maxis在首个商业部署‘玛雅大师’项目中合作，诺基亚西门子网络公司亚太南区负责人乔·杜尔说。,positive,2
"In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period .",在报告期，净销售额同比增长8%至64.3百万欧元，主要由于2008-09年上半年完成的业务收购，这些收购在审阅期内产生了10.9百万欧元的影响。,positive,2
Operating profit decreased to EUR 16mn from EUR 21.1 mn in 2008 .,运营利润从2008年的21.1百万欧元下降至16百万欧元。,negative,0
"Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas .",拉丁美洲目前占芬兰BSS-OSS和电信运营商VAS供应商 Tecnotree 公司销售额的大约40%，公司总裁兼首席执行官埃罗·梅尔塔诺告诉BNamericas。,neutral,1
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,Aspo也调查了Kaukomarkkinat电子业务的销售机会。,neutral,1
Finnish bank Alandsbanken said Monday it will buy the Swedish operations of Iceland 's troubled Kaupthing Bank for 414 million kronor $ 49.5 million in cash .,芬兰银行阿兰达银行周一宣布将以四亿一千四百万克朗（约合四千九百五十万美元现金）收购冰岛困境中的凯夫thing银行的瑞典业务。,neutral,1
"Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year .",Uponor实现营业利润151.0百万欧元，高于143.7百万欧元，使2007年成为纪录年份。,positive,2
