sentence,label_text,label
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,negative,0
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,negative,0
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",negative,0
$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,negative,0
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,negative,0
$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,negative,0
$GM - GM loses a bull https://t.co/tdUfG5HbXy,negative,0
$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,negative,0
$GTT: Cowen cuts to Market Perform,negative,0
$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,negative,0
$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,negative,0
"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",negative,0
$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,negative,0
$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,negative,0
$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,negative,0
$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,negative,0
$MDCO: Oppenheimer cuts to Perform,negative,0
$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,negative,0
$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,negative,0
$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,negative,0
$NCBS: Hovde Group cuts to Market Perform,negative,0
$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,negative,0
$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,negative,0
$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,negative,0
$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,negative,0
$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,negative,0
$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,negative,0
$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,negative,0
$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,negative,0
2U downgraded to sector weight from overweight at KeyBanc Capital,negative,0
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,negative,0
AMC Networks price target cut to $35 from $39 at Imperial Capital,negative,0
American Software downgraded to neutral from buy at B. Riley FBR,negative,0
Analysts question Silicon Motion's margin outlook,negative,0
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,negative,0
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,negative,0
AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,negative,0
AT&T shares sink after MoffettNathanson downgrade,negative,0
"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",negative,0
Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,negative,0
Autodesk downgraded to underweight from neutral at JPMorgan,negative,0
BAML warns of profit pressure for Hormel,negative,0
Barclays cools on Molson Coors,negative,0
Becton Dickinson downgraded to outperform from strong buy at Raymond James,negative,0
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,negative,0
Berry Petroleum downgraded to market perform from outperform at BMO Capital,negative,0
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,negative,0
Bluebird bio downgraded to in line from outperform at Evercore ISI,negative,0
Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,negative,0
Canada Goose downgraded to buy from strong buy at CFRA,negative,0
Canada Goose stock price target cut to $50 from $65 at CFRA,negative,0
Children's Place downgraded as e-commerce puts margins at risk,negative,0
Children's Place price target cut to $80 from $105 at Monness Crespi Hardt,negative,0
Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,negative,0
Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,negative,0
Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,negative,0
"Dell, HPE targets trimmed on compute headwinds",negative,0
Dish may not be key winner amid Intelsat woes - analyst,negative,0
Disney downgraded as analyst says parks attendance could take 2 years to 'normalize' https://t.co/InJKourtW3,negative,0
Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS,negative,0
Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO… https://t.co/NGkYTADOSt,negative,0
Dropbox on watch after stinging Spruce Point report,negative,0
"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts",negative,0
Evercore downgrades bluebird bio and Clovis in premarket analyst action,negative,0
"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act https://t.co/NhiYwphBQd",negative,0
Forescout downgraded to neutral from buy at Monness Crespi Hardt,negative,0
FormFactor cut on 'unsustainable' revenue outlook,negative,0
Funko downgraded to hold from buy at Stifel Nicolaus,negative,0
Funko stock price target cut to $10 from $25 at Stifel Nicolaus,negative,0
GM stock price target cut to $30 from $32 at Deutsche Bank,negative,0
Grubhub gains a bear on margin view,negative,0
H&P downgraded at Argus as drilling industry weakness seen persisting,negative,0
Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,negative,0
Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank,negative,0
Hexo stock price target cut to C$5 from C$6 at MKM Partners,negative,0
Home Depot stock price target cut to $237 from $240 at Instinet,negative,0
Intelsat downgraded to underweight from neutral at J.P. Morgan,negative,0
Intelsat lower after Morgan Stanley target cut,negative,0
Jefferies warns on L Brands,negative,0
Kohl's stock price target cut to $48 from $52 at Deutsche Bank,negative,0
Kohl's stock price target cut to $50 from $53 at Wedbush,negative,0
L Brands stock price target cut to $16 from $20 at Wedbush,negative,0
Lovesac stock price target cut to $28 vs. $33 at Canaccord,negative,0
Lyft stock price target cut to $58 from $70 at Deutsche Bank,negative,0
Macerich downgraded to underweight from sector weight at KeyBanc Capital,negative,0
Marinus Pharma stock price target cut to $6 from $7 at Leerink,negative,0
Methanex downgraded at TD Securities on valuation,negative,0
