sentence_id,gold_label,perturbation,sentence
3197,positive,clean,"We warmly welcome him to Satama '' , states Jussi Lansio , chairman of the Board ."
3197,positive,synonym,"We warmly welcome him to Satama '' , states Jussi Lansio , chairman of the Board ."
3197,positive,negation,"We warmly welcome him to Satama '' , states Jussi Lansio , chairman of the Board . but this did not actually happen."
3197,positive,numeric,"We warmly welcome him to Satama '' , states Jussi Lansio , chairman of the Board ."
3197,positive,chardrop,"We warmly welcome him to Satama ' , states Jussi Lansio , chaiman of the Board ."
2526,positive,clean,"( ADP News ) - Nov 3 , 2008 - Finnish cargo handling systems and services company Cargotec Oyj ( OMX : CGCBV ) said today that it acquired 80 % stakes in Italian service companies CVS Technoports Srl and CVS Service Srl from Italian handli"
2526,positive,synonym,"( ADP News ) - Nov 3 , 2008 - Finnish cargo handling systems and services company Cargotec Oyj ( OMX : CGCBV ) said today that it acquired 80 % stakes in Italian service companies CVS Technoports Srl and CVS Service Srl from Italian handli"
2526,positive,negation,"( ADP News ) - Nov 3 , 2008 - Finnish cargo handling systems and services company Cargotec Oyj ( OMX : CGCBV ) said today that it acquired 80 % stakes in Italian service companies CVS Technoports Srl and CVS Service Srl from Italian handli but this did not actually happen."
2526,positive,numeric,"( ADP News ) - Nov 30 , 2008 - Finnish cargo handling systems and services company Cargotec Oyj ( OMX : CGCBV ) said today that it acquired 80 % stakes in Italian service companies CVS Technoports Srl and CVS Service Srl from Italian handli"
2526,positive,chardrop,"( DP News ) - Nov 3 , 208 - Finnish cargo handling systems and service company Carotec Oyj ( OMX : CCBV ) said today hat it acquird 80 % stakes in Italian service copanies CVS Technoports Sl and CVS Servce Srl from Italian handli"
4099,neutral,clean,"Includes company and brand share data by category , as well as distribution channel data ."
4099,neutral,synonym,"Includes company and brand share data by category , as well as distribution channel data ."
4099,neutral,negation,"Includes company and brand share data by category , as well as distribution channel data . but this did not actually happen."
4099,neutral,numeric,"Includes company and brand share data by category , as well as distribution channel data ."
4099,neutral,chardrop,"Includes ompany and band shre data by category , as well as distribution channel data ."
1926,neutral,clean,"This rating from A.M. Best is the highest among the CIS countries , Central and Eastern Europe ."
1926,neutral,synonym,"This rating from A.M. Best is the highest among the CIS countries , Central and Eastern Europe ."
1926,neutral,negation,"This rating from A.M. Best is the highest among the CIS countries , Central and Eastern Europe . but this did not actually happen."
1926,neutral,numeric,"This rating from A.M. Best is the highest among the CIS countries , Central and Eastern Europe ."
1926,neutral,chardrop,"This rating from A.M. Best is the highest among the CIS countries , Cenral and Eastern Europe "
1536,positive,clean,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .
1536,positive,synonym,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its expansion strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .
1536,positive,negation,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs . but this did not actually happen.
1536,positive,numeric,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .
1536,positive,chardrop,FINANNG OF ASPOCOM 'S GROWTH Aspocom is aggressively pursuing its growth stategy by increasingly focusing on techologically more dmanding HDI printed cicuit boards PCBs .
1330,positive,clean,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .
1330,positive,synonym,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual expansion in 2008 .
1330,positive,negation,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 . but this did not actually happen.
1330,positive,numeric,Finnish and Swedish construction markets are still experiencing an estimated 0.04 % annual growth in 2008 .
1330,positive,chardrop,Finnish and Swedish cnstrction markets are still expeiencing an estmted 4 % anual roth in 2008 .
2372,positive,clean,"We are very excited working with Maxis on this first commercial deployment of ` Master of Maya ' , said Joe Doering , Head of the Asia South region at Nokia Siemens Networks ."
2372,positive,synonym,"We are very excited working with Maxis on this first commercial deployment of ` Master of Maya ' , said Joe Doering , Head of the Asia South region at Nokia Siemens Networks ."
2372,positive,negation,"We are very excited working with Maxis on this first commercial deployment of ` Master of Maya ' , said Joe Doering , Head of the Asia South region at Nokia Siemens Networks . but this did not actually happen."
2372,positive,numeric,"We are very excited working with Maxis on this first commercial deployment of ` Master of Maya ' , said Joe Doering , Head of the Asia South region at Nokia Siemens Networks ."
2372,positive,chardrop,"We are very excited working ith Maxis on this first commercial deployment f ` aster of Maya ' , sid oe Doering , Head f th Asa outh reion at Nokia Siemens Newrks ."
4477,positive,clean,"In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period ."
4477,positive,synonym,"In the reporting period , net sales climbed by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period ."
4477,positive,negation,"In the reporting period , net sales did not rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period ."
4477,positive,numeric,"In the reporting period , net sales rose by 0.08 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period ."
4477,positive,chardrop,"In the repting period , ne sales rose by 8 % yar-on-year to EUR64 .3 m , due to the bsiness acquisitions realized durig the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period ."
2706,negative,clean,Operating profit decreased to EUR 16mn from EUR 21.1 mn in 2008 .
2706,negative,synonym,Operating earnings decreased to EUR 16mn from EUR 21.1 mn in 2008 .
2706,negative,negation,Operating profit did not decreased to EUR 16mn from EUR 21.1 mn in 2008 .
2706,negative,numeric,Operating profit decreased to EUR 16mn from EUR 211 mn in 2008 .
2706,negative,chardrop,Operating profit decreased t EUR 16mn from EUR 21.1 mn n 2008 .
3545,neutral,clean,"Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas ."
3545,neutral,synonym,"Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas ."
3545,neutral,negation,"Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas . but this did not actually happen."
3545,neutral,numeric,"Latin America currently accounts for approximately 400 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas ."
3545,neutral,chardrop,"Latin America currenly accounts for approximatly 40 % of sales at Finnish BSS-OSS and AS supplier for telecoms operators Tecnotree , company president nd EO Eero Mertano told BNamericas ."
3688,neutral,clean,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .
3688,neutral,synonym,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .
3688,neutral,negation,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business . but this did not actually happen.
3688,neutral,numeric,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .
3688,neutral,chardrop,Aspo has also inveigated the sales pportunities of Kaukomarkkinat 's electronis business .
3575,neutral,clean,Finnish bank Alandsbanken said Monday it will buy the Swedish operations of Iceland 's troubled Kaupthing Bank for 414 million kronor $ 49.5 million in cash .
